Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
0.119713,21052,21059,75992.07,76428.50000000001,75773.84,76428.50000000001,24.87625904538518,27.370085544615005,0.0027344845981955752,2026-04-21 06:45:00+00:00,2026-04-21 08:30:00+00:00,0 days 01:45:00,score=80
0.11698499999999999,21155,21176,77965.76,78678.08428571429,77609.59785714284,78678.08428571429,55.843786378639294,27.487470185646426,0.006122668711056173,2026-04-22 08:30:00+00:00,2026-04-22 13:45:00+00:00,0 days 05:15:00,score=80
0.117001,21315,21317,78408.0,78169.8425,78169.8425,78884.285,-55.344311883014036,27.479646225513747,-0.006032857154244509,2026-04-24 00:30:00+00:00,2026-04-24 01:00:00+00:00,0 days 00:30:00,score=80
0.117618,21506,21507,77550.27,77447.97,77447.97,77754.87000000001,-39.37819588847996,27.345874488480003,-0.004317165626889526,2026-04-26 00:15:00+00:00,2026-04-26 00:30:00+00:00,0 days 00:15:00,score=80
0.11559799999999999,21602,21622,78582.58,78081.9789285714,78081.9789285714,79583.81214285715,-85.03364717953949,27.1651645245375,-0.009360826659311075,2026-04-27 00:15:00+00:00,2026-04-27 05:15:00+00:00,0 days 05:00:00,score=80
0.11490399999999999,22089,22099,78355.0,78191.19571428571,78191.19571428571,78682.60857142857,-45.8034437542461,26.981676108531428,-0.005087404496020872,2026-05-02 02:00:00+00:00,2026-05-02 04:30:00+00:00,0 days 02:30:00,score=80
0.113824,22224,22245,78717.1,78577.6532142857,78577.6532142857,78995.96357142857,-42.72826792193884,26.855876984794286,-0.00476883568545753,2026-05-03 11:45:00+00:00,2026-05-03 17:00:00+00:00,0 days 05:15:00,score=80
0.111814,22281,22313,79769.43,79326.10607142857,79326.10607142857,80656.07785714284,-76.25348415472122,26.68366240543607,-0.0085492303590306,2026-05-04 02:00:00+00:00,2026-05-04 10:00:00+00:00,0 days 08:00:00,score=80
0.11021099999999999,22375,22379,80273.0,80742.81714285714,80038.09142857142,80742.81714285714,25.160445796731135,26.61857133469714,0.0028439626916005995,2026-05-05 01:30:00+00:00,2026-05-05 02:30:00+00:00,0 days 01:00:00,score=80
0.10869,22479,22484,81616.28,81275.27249999999,81275.27249999999,82298.325,-63.62112943683793,26.557024261837498,-0.007171912622702289,2026-05-06 03:30:00+00:00,2026-05-06 04:45:00+00:00,0 days 01:15:00,score=80
0.10956199999999999,22803,22810,80416.21,80308.23857142856,80308.23857142856,80632.12285714287,-38.24350370871846,26.413938051574284,-0.004340643527325907,2026-05-09 12:30:00+00:00,2026-05-09 14:15:00+00:00,0 days 01:45:00,score=80
0.10865899999999999,22871,22893,80750.0,80974.59571428572,80637.68714285716,80974.59571428572,-1.9549035500056036,26.35924926857786,-0.0002228009818663764,2026-05-10 05:30:00+00:00,2026-05-10 11:00:00+00:00,0 days 05:30:00,score=80
0.10714,22946,22948,81877.73,81293.39285714287,81293.39285714287,83046.37428571428,-88.82911264008467,26.22323115437143,-0.010125999183695552,2026-05-11 00:15:00+00:00,2026-05-11 00:45:00+00:00,0 days 00:30:00,score=80
0.10695199999999999,23174,23178,81234.17,81070.42964285714,81070.42964285714,81561.6207142857,-43.550560988646644,26.038202311504282,-0.005012635158420832,2026-05-13 09:15:00+00:00,2026-05-13 10:15:00+00:00,0 days 01:00:00,score=80
0.106067,23334,23335,81521.99,81239.99785714285,81239.99785714285,82086.00428571431,-55.80557426549484,25.895513649065357,-0.006453904334804211,2026-05-15 01:15:00+00:00,2026-05-15 01:30:00+00:00,0 days 00:15:00,score=80
0.107569,32642,32653,69572.86,68939.21214285714,68939.21214285714,70839.73571428572,-90.51027397750258,22.349407632502498,-0.012094025822097034,2026-08-20 00:15:00+00:00,2026-08-20 03:00:00+00:00,0 days 02:45:00,score=80
0.11576299999999999,32738,32742,73495.41,74215.95499999999,73135.12249999998,74215.95499999999,57.76318471525624,25.6492661197425,0.006789239661360925,2026-08-21 00:15:00+00:00,2026-08-21 01:15:00+00:00,0 days 01:00:00,score=80
0.11109,32978,32982,77080.01,77699.86714285715,76770.09642857143,77699.86714285715,43.068185172301696,25.7917448277,0.005029674063909355,2026-08-23 12:15:00+00:00,2026-08-23 13:15:00+00:00,0 days 01:00:00,score=80
0.110521,33066,33069,77846.41,77507.15964285714,77507.15964285714,78524.94071428572,-63.24903652753447,25.75474780574732,-0.007351407876190515,2026-08-24 10:15:00+00:00,2026-08-24 11:00:00+00:00,0 days 00:45:00,score=80
